stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,sniffer_tx,sniffer_rx,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
9,145,PASS,8,16266,2263,8818,s9_p145_yield.log,packets.s9_p145_yield.Host.raw,packets.s9_p145_yield.TX.raw,packets.s9_p145_yield.RX.raw,PASS,16266,3,8
9,150,PASS,8,16268,2253,9069,s9_p150_yield.log,packets.s9_p150_yield.Host.raw,packets.s9_p150_yield.TX.raw,packets.s9_p150_yield.RX.raw,PASS,16268,3,8
9,155,PASS,8,16260,2261,8948,s9_p155_yield.log,packets.s9_p155_yield.Host.raw,packets.s9_p155_yield.TX.raw,packets.s9_p155_yield.RX.raw,PASS,16260,3,8
9,200,PASS,8,16272,2259,8798,s9_p200_yield.log,packets.s9_p200_yield.Host.raw,packets.s9_p200_yield.TX.raw,packets.s9_p200_yield.RX.raw,PASS,16272,3,8
9,233,PASS,8,16257,2257,8793,s9_p233_yield.log,packets.s9_p233_yield.Host.raw,packets.s9_p233_yield.TX.raw,packets.s9_p233_yield.RX.raw,PASS,16257,3,8
9,250,PASS,8,16271,2255,8804,s9_p250_yield.log,packets.s9_p250_yield.Host.raw,packets.s9_p250_yield.TX.raw,packets.s9_p250_yield.RX.raw,PASS,16271,3,8
9,373,PASS,8,16258,2265,8824,s9_p373_yield.log,packets.s9_p373_yield.Host.raw,packets.s9_p373_yield.TX.raw,packets.s9_p373_yield.RX.raw,PASS,16258,3,8
9,500,PASS,8,16257,2265,8809,s9_p500_yield.log,packets.s9_p500_yield.Host.raw,packets.s9_p500_yield.TX.raw,packets.s9_p500_yield.RX.raw,PASS,16257,3,8
10,125,PASS,8,16283,2265,8837,s10_p125_yield.log,packets.s10_p125_yield.Host.raw,packets.s10_p125_yield.TX.raw,packets.s10_p125_yield.RX.raw,PASS,16283,3,8
10,145,PASS,8,16268,2266,8797,s10_p145_yield.log,packets.s10_p145_yield.Host.raw,packets.s10_p145_yield.TX.raw,packets.s10_p145_yield.RX.raw,PASS,16268,3,8
10,150,PASS,8,16258,2283,8807,s10_p150_yield.log,packets.s10_p150_yield.Host.raw,packets.s10_p150_yield.TX.raw,packets.s10_p150_yield.RX.raw,PASS,16258,3,8
10,155,PASS,8,16267,2258,8823,s10_p155_yield.log,packets.s10_p155_yield.Host.raw,packets.s10_p155_yield.TX.raw,packets.s10_p155_yield.RX.raw,PASS,16267,3,8
10,200,PASS,8,16264,2253,8807,s10_p200_yield.log,packets.s10_p200_yield.Host.raw,packets.s10_p200_yield.TX.raw,packets.s10_p200_yield.RX.raw,PASS,16264,3,8
10,233,PASS,8,16255,2267,8805,s10_p233_yield.log,packets.s10_p233_yield.Host.raw,packets.s10_p233_yield.TX.raw,packets.s10_p233_yield.RX.raw,PASS,16255,3,8
10,250,PASS,8,16266,2269,8807,s10_p250_yield.log,packets.s10_p250_yield.Host.raw,packets.s10_p250_yield.TX.raw,packets.s10_p250_yield.RX.raw,PASS,16266,3,8
10,373,PASS,8,16255,2265,8799,s10_p373_yield.log,packets.s10_p373_yield.Host.raw,packets.s10_p373_yield.TX.raw,packets.s10_p373_yield.RX.raw,PASS,16255,3,8
10,500,PASS,8,16294,2369,8807,s10_p500_yield.log,packets.s10_p500_yield.Host.raw,packets.s10_p500_yield.TX.raw,packets.s10_p500_yield.RX.raw,PASS,16294,3,8
11,125,PASS,8,16257,2255,8815,s11_p125_yield.log,packets.s11_p125_yield.Host.raw,packets.s11_p125_yield.TX.raw,packets.s11_p125_yield.RX.raw,PASS,16257,3,8
11,145,PASS,8,16255,2266,8820,s11_p145_yield.log,packets.s11_p145_yield.Host.raw,packets.s11_p145_yield.TX.raw,packets.s11_p145_yield.RX.raw,PASS,16255,3,8
11,150,PASS,8,16276,2256,8906,s11_p150_yield.log,packets.s11_p150_yield.Host.raw,packets.s11_p150_yield.TX.raw,packets.s11_p150_yield.RX.raw,PASS,16276,3,8
11,155,PASS,8,16255,2331,9045,s11_p155_yield.log,packets.s11_p155_yield.Host.raw,packets.s11_p155_yield.TX.raw,packets.s11_p155_yield.RX.raw,PASS,16255,3,8
11,200,PASS,8,16255,2275,8807,s11_p200_yield.log,packets.s11_p200_yield.Host.raw,packets.s11_p200_yield.TX.raw,packets.s11_p200_yield.RX.raw,PASS,16255,3,8
11,233,PASS,8,16259,2259,8811,s11_p233_yield.log,packets.s11_p233_yield.Host.raw,packets.s11_p233_yield.TX.raw,packets.s11_p233_yield.RX.raw,PASS,16259,3,8
11,250,PASS,8,16260,2255,8803,s11_p250_yield.log,packets.s11_p250_yield.Host.raw,packets.s11_p250_yield.TX.raw,packets.s11_p250_yield.RX.raw,PASS,16260,3,8
11,373,PASS,8,16293,2293,8821,s11_p373_yield.log,packets.s11_p373_yield.Host.raw,packets.s11_p373_yield.TX.raw,packets.s11_p373_yield.RX.raw,PASS,16293,3,8
11,500,PASS,8,16255,2280,8809,s11_p500_yield.log,packets.s11_p500_yield.Host.raw,packets.s11_p500_yield.TX.raw,packets.s11_p500_yield.RX.raw,PASS,16255,3,8
12,125,PASS,8,16268,2265,8818,s12_p125_yield.log,packets.s12_p125_yield.Host.raw,packets.s12_p125_yield.TX.raw,packets.s12_p125_yield.RX.raw,PASS,16268,3,8
12,145,PASS,8,16267,2340,8833,s12_p145_yield.log,packets.s12_p145_yield.Host.raw,packets.s12_p145_yield.TX.raw,packets.s12_p145_yield.RX.raw,PASS,16267,3,8
12,150,PASS,8,16277,2259,8802,s12_p150_yield.log,packets.s12_p150_yield.Host.raw,packets.s12_p150_yield.TX.raw,packets.s12_p150_yield.RX.raw,PASS,16277,3,8
12,155,PASS,8,16505,2275,8839,s12_p155_yield.log,packets.s12_p155_yield.Host.raw,packets.s12_p155_yield.TX.raw,packets.s12_p155_yield.RX.raw,PASS,16505,3,8
12,200,PASS,8,16268,2256,8816,s12_p200_yield.log,packets.s12_p200_yield.Host.raw,packets.s12_p200_yield.TX.raw,packets.s12_p200_yield.RX.raw,PASS,16268,3,8
12,233,PASS,8,16271,2262,8832,s12_p233_yield.log,packets.s12_p233_yield.Host.raw,packets.s12_p233_yield.TX.raw,packets.s12_p233_yield.RX.raw,PASS,16271,3,8
12,250,PASS,8,16352,2257,8809,s12_p250_yield.log,packets.s12_p250_yield.Host.raw,packets.s12_p250_yield.TX.raw,packets.s12_p250_yield.RX.raw,PASS,16352,3,8
12,373,PASS,8,16262,2256,8824,s12_p373_yield.log,packets.s12_p373_yield.Host.raw,packets.s12_p373_yield.TX.raw,packets.s12_p373_yield.RX.raw,PASS,16262,3,8
12,500,PASS,8,16255,2284,8789,s12_p500_yield.log,packets.s12_p500_yield.Host.raw,packets.s12_p500_yield.TX.raw,packets.s12_p500_yield.RX.raw,PASS,16255,3,8
15,125,PASS,8,16259,2254,8814,s15_p125_yield.log,packets.s15_p125_yield.Host.raw,packets.s15_p125_yield.TX.raw,packets.s15_p125_yield.RX.raw,PASS,16259,3,8
15,145,PASS,8,16255,2254,8810,s15_p145_yield.log,packets.s15_p145_yield.Host.raw,packets.s15_p145_yield.TX.raw,packets.s15_p145_yield.RX.raw,PASS,16255,3,8
15,150,PASS,8,16261,2254,8827,s15_p150_yield.log,packets.s15_p150_yield.Host.raw,packets.s15_p150_yield.TX.raw,packets.s15_p150_yield.RX.raw,PASS,16261,3,8
15,155,PASS,8,16265,2391,8810,s15_p155_yield.log,packets.s15_p155_yield.Host.raw,packets.s15_p155_yield.TX.raw,packets.s15_p155_yield.RX.raw,PASS,16265,3,8
15,200,PASS,8,16256,2263,8828,s15_p200_yield.log,packets.s15_p200_yield.Host.raw,packets.s15_p200_yield.TX.raw,packets.s15_p200_yield.RX.raw,PASS,16256,3,8
15,233,PASS,8,16255,2517,8807,s15_p233_yield.log,packets.s15_p233_yield.Host.raw,packets.s15_p233_yield.TX.raw,packets.s15_p233_yield.RX.raw,PASS,16255,3,8
15,250,PASS,8,16264,2256,8815,s15_p250_yield.log,packets.s15_p250_yield.Host.raw,packets.s15_p250_yield.TX.raw,packets.s15_p250_yield.RX.raw,PASS,16264,3,8
15,373,PASS,8,16257,2260,8806,s15_p373_yield.log,packets.s15_p373_yield.Host.raw,packets.s15_p373_yield.TX.raw,packets.s15_p373_yield.RX.raw,PASS,16257,3,8
15,500,PASS,8,16280,2266,8800,s15_p500_yield.log,packets.s15_p500_yield.Host.raw,packets.s15_p500_yield.TX.raw,packets.s15_p500_yield.RX.raw,PASS,16280,3,8
20,125,PASS,8,16265,2262,8821,s20_p125_yield.log,packets.s20_p125_yield.Host.raw,packets.s20_p125_yield.TX.raw,packets.s20_p125_yield.RX.raw,PASS,16265,3,8
20,145,PASS,8,16253,2293,8801,s20_p145_yield.log,packets.s20_p145_yield.Host.raw,packets.s20_p145_yield.TX.raw,packets.s20_p145_yield.RX.raw,PASS,16253,3,8
20,150,PASS,8,16259,2277,8806,s20_p150_yield.log,packets.s20_p150_yield.Host.raw,packets.s20_p150_yield.TX.raw,packets.s20_p150_yield.RX.raw,PASS,16259,3,8
20,155,PASS,8,16275,2287,8818,s20_p155_yield.log,packets.s20_p155_yield.Host.raw,packets.s20_p155_yield.TX.raw,packets.s20_p155_yield.RX.raw,PASS,16275,3,8
20,200,PASS,8,16259,2269,9068,s20_p200_yield.log,packets.s20_p200_yield.Host.raw,packets.s20_p200_yield.TX.raw,packets.s20_p200_yield.RX.raw,PASS,16259,3,8
20,233,PASS,8,16266,2284,8819,s20_p233_yield.log,packets.s20_p233_yield.Host.raw,packets.s20_p233_yield.TX.raw,packets.s20_p233_yield.RX.raw,PASS,16266,3,8
20,250,PASS,8,16254,2277,8953,s20_p250_yield.log,packets.s20_p250_yield.Host.raw,packets.s20_p250_yield.TX.raw,packets.s20_p250_yield.RX.raw,PASS,16254,3,8
20,373,PASS,8,16271,2255,8815,s20_p373_yield.log,packets.s20_p373_yield.Host.raw,packets.s20_p373_yield.TX.raw,packets.s20_p373_yield.RX.raw,PASS,16271,3,8
20,500,PASS,8,16264,2527,8815,s20_p500_yield.log,packets.s20_p500_yield.Host.raw,packets.s20_p500_yield.TX.raw,packets.s20_p500_yield.RX.raw,PASS,16264,3,8
30,125,PASS,8,16285,2272,9023,s30_p125_yield.log,packets.s30_p125_yield.Host.raw,packets.s30_p125_yield.TX.raw,packets.s30_p125_yield.RX.raw,PASS,16285,3,8
30,145,PASS,8,16254,2257,8818,s30_p145_yield.log,packets.s30_p145_yield.Host.raw,packets.s30_p145_yield.TX.raw,packets.s30_p145_yield.RX.raw,PASS,16254,3,8
30,150,PASS,8,16253,2294,8798,s30_p150_yield.log,packets.s30_p150_yield.Host.raw,packets.s30_p150_yield.TX.raw,packets.s30_p150_yield.RX.raw,PASS,16253,3,8
30,155,PASS,8,16279,2254,8833,s30_p155_yield.log,packets.s30_p155_yield.Host.raw,packets.s30_p155_yield.TX.raw,packets.s30_p155_yield.RX.raw,PASS,16279,3,8
30,200,PASS,8,16264,2278,9066,s30_p200_yield.log,packets.s30_p200_yield.Host.raw,packets.s30_p200_yield.TX.raw,packets.s30_p200_yield.RX.raw,PASS,16264,3,8
30,233,PASS,8,16260,2259,8805,s30_p233_yield.log,packets.s30_p233_yield.Host.raw,packets.s30_p233_yield.TX.raw,packets.s30_p233_yield.RX.raw,PASS,16260,3,8
30,250,PASS,8,16267,2266,8825,s30_p250_yield.log,packets.s30_p250_yield.Host.raw,packets.s30_p250_yield.TX.raw,packets.s30_p250_yield.RX.raw,PASS,16267,3,8
30,373,PASS,8,16262,2267,8806,s30_p373_yield.log,packets.s30_p373_yield.Host.raw,packets.s30_p373_yield.TX.raw,packets.s30_p373_yield.RX.raw,PASS,16262,3,8
30,500,PASS,8,16435,2271,8813,s30_p500_yield.log,packets.s30_p500_yield.Host.raw,packets.s30_p500_yield.TX.raw,packets.s30_p500_yield.RX.raw,PASS,16435,3,8
50,125,PASS,8,16253,2253,8811,s50_p125_yield.log,packets.s50_p125_yield.Host.raw,packets.s50_p125_yield.TX.raw,packets.s50_p125_yield.RX.raw,PASS,16253,3,8
50,145,PASS,8,16291,2303,8854,s50_p145_yield.log,packets.s50_p145_yield.Host.raw,packets.s50_p145_yield.TX.raw,packets.s50_p145_yield.RX.raw,PASS,16291,3,8
50,150,PASS,8,16438,2345,8850,s50_p150_yield.log,packets.s50_p150_yield.Host.raw,packets.s50_p150_yield.TX.raw,packets.s50_p150_yield.RX.raw,PASS,16438,3,8
50,155,PASS,8,16255,2277,8868,s50_p155_yield.log,packets.s50_p155_yield.Host.raw,packets.s50_p155_yield.TX.raw,packets.s50_p155_yield.RX.raw,PASS,16255,3,8
50,200,PASS,8,16263,2507,9075,s50_p200_yield.log,packets.s50_p200_yield.Host.raw,packets.s50_p200_yield.TX.raw,packets.s50_p200_yield.RX.raw,PASS,16263,3,8
50,233,PASS,8,16475,2262,8808,s50_p233_yield.log,packets.s50_p233_yield.Host.raw,packets.s50_p233_yield.TX.raw,packets.s50_p233_yield.RX.raw,PASS,16475,3,8
50,250,PASS,8,16296,2254,8847,s50_p250_yield.log,packets.s50_p250_yield.Host.raw,packets.s50_p250_yield.TX.raw,packets.s50_p250_yield.RX.raw,PASS,16296,3,8
50,373,PASS,8,16285,2270,8789,s50_p373_yield.log,packets.s50_p373_yield.Host.raw,packets.s50_p373_yield.TX.raw,packets.s50_p373_yield.RX.raw,PASS,16285,3,8
50,500,PASS,8,16270,2273,8850,s50_p500_yield.log,packets.s50_p500_yield.Host.raw,packets.s50_p500_yield.TX.raw,packets.s50_p500_yield.RX.raw,PASS,16270,3,8
100,125,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
100,145,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
100,150,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
100,155,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
100,200,PASS,8,16277,2434,8917,s100_p200_yield.log,packets.s100_p200_yield.Host.raw,packets.s100_p200_yield.TX.raw,packets.s100_p200_yield.RX.raw,PASS,16277,3,8
100,233,PASS,8,16259,2351,8845,s100_p233_yield.log,packets.s100_p233_yield.Host.raw,packets.s100_p233_yield.TX.raw,packets.s100_p233_yield.RX.raw,PASS,16259,3,8
100,250,PASS,8,16310,2585,8816,s100_p250_yield.log,packets.s100_p250_yield.Host.raw,packets.s100_p250_yield.TX.raw,packets.s100_p250_yield.RX.raw,PASS,16310,3,8
100,373,PASS,8,16263,2304,8952,s100_p373_yield.log,packets.s100_p373_yield.Host.raw,packets.s100_p373_yield.TX.raw,packets.s100_p373_yield.RX.raw,PASS,16263,3,8
100,500,PASS,8,16253,2345,8796,s100_p500_yield.log,packets.s100_p500_yield.Host.raw,packets.s100_p500_yield.TX.raw,packets.s100_p500_yield.RX.raw,PASS,16253,3,8
250,125,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,145,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,150,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,155,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,200,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,233,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,250,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,373,SKIPPED_REDUNDANT,0,0,0,0,,,,,SKIPPED_REDUNDANT,0,0,0
250,500,PASS,8,16509,2257,9321,s250_p500_yield.log,packets.s250_p500_yield.Host.raw,packets.s250_p500_yield.TX.raw,packets.s250_p500_yield.RX.raw,PASS,16509,3,8
